car_park_id,address,x_coordinate,y_coordinate,parking_system_type,short_term_parking,whole_day_parking,0700to1900_parking,0700to2230_parking,free_parking,night_parking,car_park_basement,0700to1700_motorcars_rate,1700to0700_motorcars_rate,0700to2230_motorcycle_per_lot,22300to0700_motorcycle_per_lot
PRM1,BLK 441A PASIR RIS DRIVE 6,41857.2031,39071.4559,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PRS1,BLK 212A PASIR RIS STREET 21,42134.4478,38894.2762,ELECTRONIC PARKING,YES,NO,NO,YES,NO,NO,NO,0.6,0.6,0.65,0.65
PR1,BLK 101/108 PASIR RIS STREET 12,41875.5357,38818.4836,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PR10,BLK 467/477 PASIR RIS DRIVE 6,41784.5801,39526.9469,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PR11,BLK 478/487 PASIR RIS DRIVE 4,42030.2409,39606.4261,COUPON PARKING,YES,NO,NO,YES,SUN & PH FR 7AM-10.30PM,NO,NO,0.6,0.6,0.65,0.65
PR12,BLK 544/556 PASIR RIS STREET 51,41283.8272,38971.2519,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
PR13,"BLK 537-543, 564-569 PASIR RIS STREET 51",40942.8203,39055.5703,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
PR14,BLK 557-562 PASIR RIS STREET 51,41151.375,38747.043,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
PR2,BLK 109/129 PASIR RIS STREET 11,41590.9705,38812.1621,ELECTRONIC PARKING,NO,NO,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PR3,BLK 531/536 PASIR RIS DRIVE 1/PASIR RIS CENTRAL,41064.8727,39231.0631,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
PR4,BLK 406/411 PASIR RIS DRIVE 6,41488.2976,39437.995,ELECTRONIC PARKING,NO,NO,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PR5,"BLK 405/406, 412/429 PASIR RIS DRIVE 6",41554.7014,39169.7008,ELECTRONIC PARKING,NO,NO,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PR6,BLK 441/445 PASIR RIS DRIVE 6,41830.3635,39044.8529,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
PR7,BLK 446/455 PASIR RIS DRIVE 6,41840.49,39225.13,ELECTRONIC PARKING,YES,NO,NO,YES,NO,NO,NO,0.6,0.6,0.65,0.65
PR8,BLK 456/461 PASIR RIS DRIVE 4,42050.749,39253.7168,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
PR9,BLK 463/466 PASIR RIS STREET 41,41926.2439,39467.9453,COUPON PARKING,YES,NO,NO,YES,NO,NO,NO,0.6,0.6,0.65,0.65
P1,BLK 196 PUNGGOL FIELD,36202.3912,42357.2043,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
P11,BLK 416 PANDAN GARDENS,18544.4873,33717.7282,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
P12,BLK 415 PANDAN GARDENS,18526.4824,33647.3125,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
P13,BLK 401/402 PANDAN GARDENS,18772.8516,33660.8789,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
P14,BLK 403/408 PANDAN GARDENS,18635.6875,33513.0954,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
P15,BLK 413 PANDAN GARDENS,18521.3692,33566.3085,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
P16,BLK 412/414 PANDAN GARDENS,18411.9297,33571.571,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
P17,BLK 409/411 PANDAN GARDENS,18436.3162,33454.2597,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
P2,BLK 199 PUNGGOL FIELD,36091.6693,42442.0964,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
P3,BLK 101 PUNGGOL FIELD,36063.3675,42259.892,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
P34L,PUNGGOL ROAD,36246.7526,42930.9252,ELECTRONIC PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
P35L,PUNGGOL CENTRAL,36269.0157,42678.4287,ELECTRONIC PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
P4,BLK 105 EDGEFIELD PLAINS,36046.5051,42123.9201,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
P40L,BLK 740 TO 745 PASIR RIS STREET 71,39419.6994,40009.1936,ELECTRONIC PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
P5,BLK 107 PUNGGOL FIELD,36271.1939,42085.2693,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
P5L,BLK 106A PUNGGOL FIELD,36283.2687,42152.2969,ELECTRONIC PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
P6,BLK 109 PUNGGOL FIELD,36473.7909,41918.4197,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
P6L,BLK 109B PUNGGOL FIELD,36543.1672,41943.8193,ELECTRONIC PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
P7,BLK 119 EDGEFIELD PLAINS,36140.7994,41924.977,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
